company_id,from_year,to_year,from_pattern,to_pattern
PIDILITIND,2018.0,2019,Shareholder Returns,Deleverager
PIDILITIND,2019.0,2020,Deleverager,Shareholder Returns
PIDILITIND,2020.0,2021,Shareholder Returns,Deleverager
PNB,2013.0,2014,Cash Burner,Reinvestor
PNB,2016.0,2017,Reinvestor,Shareholder Returns
PNB,2017.0,2018,Shareholder Returns,Distress Signal
PNB,2020.0,2021,Distress Signal,Reinvestor
PNB,2023.0,2024,Reinvestor,Distress Signal
POWERGRID,2018.0,2019,Reinvestor,Deleverager
POWERGRID,2021.0,2022,Deleverager,Shareholder Returns
POWERGRID,2022.0,2023,Shareholder Returns,Deleverager
RECLTD,2016.0,2017,Distress Signal,Deleverager
RECLTD,2017.0,2018,Deleverager,Distress Signal
RELIANCE,2015.0,2016,Reinvestor,Deleverager
RELIANCE,2016.0,2017,Deleverager,Reinvestor
RELIANCE,2017.0,2018,Reinvestor,Deleverager
RELIANCE,2018.0,2019,Deleverager,Reinvestor
RELIANCE,2019.0,2020,Reinvestor,Deleverager
RELIANCE,2020.0,2021,Deleverager,Reinvestor
RELIANCE,2023.0,2024,Reinvestor,Deleverager
SBILIFE,2020.0,2021,Deleverager,Reinvestor
SBILIFE,2021.0,2022,Reinvestor,Deleverager
SBIN,2013.0,2014,Deleverager,Reinvestor
SBIN,2014.0,2015,Reinvestor,Deleverager
SBIN,2015.0,2016,Deleverager,Reinvestor
SBIN,2016.0,2017,Reinvestor,Deleverager
SBIN,2017.0,2018,Deleverager,Distress Signal
SBIN,2018.0,2019,Distress Signal,Cash Accumulator
SBIN,2019.0,2020,Cash Accumulator,Reinvestor
SBIN,2021.0,2022,Reinvestor,Deleverager
SBIN,2022.0,2023,Deleverager,Distress Signal
SBIN,2023.0,2024,Distress Signal,Deleverager
SHREECEM,2017.0,2018,Deleverager,Reinvestor
SHREECEM,2018.0,2019,Reinvestor,Deleverager
SHREECEM,2019.0,2020,Deleverager,Reinvestor
SHREECEM,2020.0,2021,Reinvestor,Deleverager
SIEMENS,2017.0,2018,Shareholder Returns,Deleverager
SIEMENS,2019.0,2020,Deleverager,Shareholder Returns
SIEMENS,2020.0,2021,Shareholder Returns,Deleverager
SUNPHARMA,2013.0,2014,Deleverager,Reinvestor
SUNPHARMA,2014.0,2015,Reinvestor,Deleverager
SUNPHARMA,2020.0,2021,Deleverager,Shareholder Returns
SUNPHARMA,2021.0,2022,Shareholder Returns,Deleverager
SUNPHARMA,2022.0,2023,Deleverager,Reinvestor
